"Possible Locations__ADDRESS","Possible Locations__BLK_NO","Possible Locations__BUILDING","Possible Locations__LATITUDE","Possible Locations__LONGITUDE","Possible Locations__LONGTITUDE","Possible Locations__POSTAL","Possible Locations__ROAD_NAME","Possible Locations__SEARCHVAL","Possible Locations__X","Possible Locations__Y","Station","Station Name"
"235 BUKIT TIMAH ROAD NEWTON MRT STATION SINGAPORE 229901","235","NEWTON MRT STATION","1.31399286264572","103.837714613091","103.837714613091","229901","BUKIT TIMAH ROAD","NEWTON MRT STATION","28489.2364384029","32920.1726889107","",""
"437 ORCHARD ROAD ORCHARD MRT STATION SINGAPORE 238878","437","ORCHARD MRT STATION","1.30397987430726","103.832245299857","103.832245299857","238878","ORCHARD ROAD","ORCHARD MRT STATION","27880.5538237328","31812.9875513017","NS22","Orchard"
"1 SOMERSET ROAD SOMERSET MRT STATION SINGAPORE 238162","1","SOMERSET MRT STATION","1.30026416739007","103.839085753124","103.839085753124","238162","SOMERSET ROAD","SOMERSET MRT STATION","28641.8346576085","31402.1245223545","NS23","Somerset"
"11 ORCHARD ROAD DHOBY GHAUT MRT STATION SINGAPORE 238826","11","DHOBY GHAUT MRT STATION","1.29870130619238","103.846115155028","103.846115155028","238826","ORCHARD ROAD","DHOBY GHAUT MRT STATION","29424.144839067","31229.3142516632","NS24","Dhoby Ghaut"
"60 ORCHARD ROAD DHOBY GHAUT MRT STATION SINGAPORE 238889","60","DHOBY GHAUT MRT STATION","1.29970545852799","103.845488184359","103.845488184359","238889","ORCHARD ROAD","DHOBY GHAUT MRT STATION","29354.3680562042","31340.3479005359","",""
"13 ORCHARD ROAD DHOBY GHAUT MRT STATION SINGAPORE 238893","13","DHOBY GHAUT MRT STATION","1.29881040867147","103.84634759342","103.84634759342","238893","ORCHARD ROAD","DHOBY GHAUT MRT STATION","29450.0130989393","31241.3783738092","",""
"150 NORTH BRIDGE ROAD CITY HALL MRT STATION SINGAPORE 179100","150","CITY HALL MRT STATION","1.29293624242153","103.852585892041","103.852585892041","179100","NORTH BRIDGE ROAD","CITY HALL MRT STATION","30144.2850662591","30591.8477530535","NS25","City Hall"
"5 RAFFLES PLACE RAFFLES PLACE MRT STATION SINGAPORE 048618","5","RAFFLES PLACE MRT STATION","1.2841256104366","103.851461712342","103.851461712342","048618","RAFFLES PLACE","RAFFLES PLACE MRT STATION","30019.180527919","29617.6125848964","NS26","Raffles Place"
"21 PARK STREET MARINA BAY MRT STATION SINGAPORE 018925","21","MARINA BAY MRT STATION","1.27642735449345","103.854597777026","103.854597777026","018925","PARK STREET","MARINA BAY MRT STATION","30368.2056423808","28766.3818715643","NS27","Marina Bay"
"23 PARK STREET MARINA BAY MRT STATION SINGAPORE 018926","23","MARINA BAY MRT STATION","1.27625146423745","103.855447156279","103.855447156279","018926","PARK STREET","MARINA BAY MRT STATION","30462.7349769678","28746.9336326476","",""
"25 PARK STREET MARINA BAY MRT STATION SINGAPORE 018929","25","MARINA BAY MRT STATION","1.27493906950917","103.855330338563","103.855330338563","018929","PARK STREET","MARINA BAY MRT STATION","30449.7353319814","28601.8156915978","",""
"33 MARINA COASTAL DRIVE MARINA SOUTH PIER MRT STATION SINGAPORE 018948","33","MARINA SOUTH PIER MRT STATION","1.2710270361201","103.862447515736","103.862447515736","018948","MARINA COASTAL DRIVE","MARINA SOUTH PIER MRT STATION","31241.8260070188","28169.2510934174","NS28","Marina South Pier"
"10 PASIR RIS CENTRAL PASIR RIS MRT STATION SINGAPORE 519634","10","PASIR RIS MRT STATION","1.37304321206227","103.949284605816","103.949284605816","519634","PASIR RIS CENTRAL","PASIR RIS MRT STATION","40905.6061495682","39449.9708075821","EW1","Pasir Ris"
"20 TAMPINES CENTRAL 1 TAMPINES MRT STATION SINGAPORE 529538","20","TAMPINES MRT STATION","1.35330153265954","103.945144689278","103.945144689278","529538","TAMPINES CENTRAL 1","TAMPINES MRT STATION","40444.9846136123","37267.0103757698","EW2","Tampines"
"15 TAMPINES CENTRAL 1 TAMPINES MRT STATION SINGAPORE 529544","15","TAMPINES MRT STATION","1.35515041120475","103.943009883131","103.943009883131","529544","TAMPINES CENTRAL 1","TAMPINES MRT STATION","40207.3952279193","37471.4394600242","",""
"30 SIMEI STREET 3 SIMEI MRT STATION SINGAPORE 529888","30","SIMEI MRT STATION","1.34320289478118","103.953371694102","103.953371694102","529888","SIMEI STREET 3","SIMEI MRT STATION","41360.6137917796","36150.3958834633","EW3","Simei"
"920 NEW UPPER CHANGI ROAD TANAH MERAH MRT STATION SINGAPORE 467356","920","TANAH MERAH MRT STATION","1.32718775009106","103.946348136559","103.946348136559","467356","NEW UPPER CHANGI ROAD","TANAH MERAH MRT STATION","40579.0481119165","34379.4824733157","EW4","Tanah Merah"
"315 NEW UPPER CHANGI ROAD BEDOK MRT STATION SINGAPORE 467347","315","BEDOK MRT STATION","1.32397996868161","103.929984495066","103.929984495066","467347","NEW UPPER CHANGI ROAD","BEDOK MRT STATION","38757.9520495059","34024.7047772091","EW5","Bedok"
"55 SIMS AVENUE EAST KEMBANGAN MRT STATION SINGAPORE 416551","55","KEMBANGAN MRT STATION","1.32103824851416","103.912949388089","103.912949388089","416551","SIMS AVENUE EAST","KEMBANGAN MRT STATION","36862.1236694017","33699.3567627426","EW6","Kembangan"
"30 EUNOS CRESCENT EUNOS MRT STATION SINGAPORE 409423","30","EUNOS MRT STATION","1.31978354779207","103.903225812967","103.903225812967","409423","EUNOS CRESCENT","EUNOS MRT STATION","35779.9889810141","33560.5857454669","EW7","Eunos"
"30 PAYA LEBAR ROAD PAYA LEBAR MRT STATION SINGAPORE 409006","30","PAYA LEBAR MRT STATION","1.31811208187582","103.893060355199","103.893060355199","409006","PAYA LEBAR ROAD","PAYA LEBAR MRT STATION","34648.6772941211","33375.7340536173","EW8","Paya Lebar"
"15 PAYA LEBAR ROAD PAYA LEBAR MRT STATION SINGAPORE 409049","15","PAYA LEBAR MRT STATION","1.31724738540351","103.892260753884","103.892260753884","409049","PAYA LEBAR ROAD","PAYA LEBAR MRT STATION","34559.6916920915","33280.1181892175","",""
"81 LORONG 25 GEYLANG ALJUNIED MRT STATION SINGAPORE 388310","81","ALJUNIED MRT STATION","1.31643261181573","103.882906044385","103.882906044385","388310","LORONG 25 GEYLANG","ALJUNIED MRT STATION","33518.6048692856","33190.0020174589","EW9","Aljunied"
"5 SIMS AVENUE KALLANG MRT STATION SINGAPORE 387405","5","KALLANG MRT STATION","1.31148890998822","103.871386541754","103.871386541754","387405","SIMS AVENUE","KALLANG MRT STATION","32236.6038438482","32643.3302382659","EW10","Kallang"
"50 KALLANG ROAD LAVENDER MRT STATION SINGAPORE 208699","50","LAVENDER MRT STATION","1.30737750842617","103.862767633612","103.862767633612","208699","KALLANG ROAD","LAVENDER MRT STATION","31277.406203486","32188.6996140592","EW11","Lavender"
"220 VICTORIA STREET BUGIS MRT STATION SINGAPORE 188022","220","BUGIS MRT STATION","1.30046507606683","103.855706414086","103.855706414086","188022","VICTORIA STREET","BUGIS MRT STATION","30491.5648077074","31424.3502725307","EW12","Bugis"
"320 VICTORIA STREET BUGIS MRT STATION SINGAPORE 188045","320","BUGIS MRT STATION","1.30036650571953","103.855636652806","103.855636652806","188045","VICTORIA STREET","BUGIS MRT STATION","30483.8011001516","31413.4508018624","",""
"191 ROCHOR ROAD BUGIS MRT STATION SINGAPORE 188476","191","BUGIS MRT STATION","1.2993135039933","103.857125958751","103.857125958751","188476","ROCHOR ROAD","BUGIS MRT STATION","30649.5485789878","31297.016799869","",""
"150 NORTH BRIDGE ROAD CITY HALL MRT STATION SINGAPORE 179100","150","CITY HALL MRT STATION","1.29293624242153","103.852585892041","103.852585892041","179100","NORTH BRIDGE ROAD","CITY HALL MRT STATION","30144.2850662591","30591.8477530535","EW13","City Hall"
"5 RAFFLES PLACE RAFFLES PLACE MRT STATION SINGAPORE 048618","5","RAFFLES PLACE MRT STATION","1.2841256104366","103.851461712342","103.851461712342","048618","RAFFLES PLACE","RAFFLES PLACE MRT STATION","30019.180527919","29617.6125848964","EW14","Raffles Place"
"120 MAXWELL ROAD TANJONG PAGAR MRT STATION SINGAPORE 069119","120","TANJONG PAGAR MRT STATION","1.2765613173725","103.845725186759","103.845725186759","069119","MAXWELL ROAD","TANJONG PAGAR MRT STATION","29380.7567437878","28781.1883335728","EW15","Tanjong Pagar"
"300 EU TONG SEN STREET OUTRAM PARK MRT STATION SINGAPORE 059816","300","OUTRAM PARK MRT STATION","1.27973970679336","103.839513521005","103.839513521005","059816","EU TONG SEN STREET","OUTRAM PARK MRT STATION","28689.4468921591","29132.635703966","EW16","Outram Park"
